name,switch_motor,set,doubles,doubles2,blackboard,i2c
sc,0,0,28,43,0,0
sc,0,0,31,49,0,0
sc,0,0,30,50,0,0
sc,0,1,29,61,0,0
sc,0,1,29,55,0,0
sc,0,0,34,49,0,0
sc,0,0,29,45,0,0
sc,0,0,30,51,0,0
sc,0,0,35,47,0,0
sc,0,1,43,53,0,0
sc,0,0,30,49,0,0
sc,0,0,25,50,0,0
sc,0,0,34,51,0,0
sc,0,0,31,49,0,0
sc,0,0,28,50,0,0
sc,1,0,37,56,0,0
sc,0,0,32,51,0,0
sc,0,0,31,59,0,0
sc,0,1,31,57,0,0
sc,0,0,32,56,0,0
sc,1,0,35,54,0,0
sc,0,0,36,45,0,0
sc,0,1,27,45,0,0
sc,0,0,31,50,0,0
sc,0,0,26,46,0,0
sc,0,0,31,50,0,0
sc,0,0,32,46,0,0
sc,0,0,28,45,0,0
sc,0,0,25,46,0,0
sc,0,0,28,47,0,0
sc,0,0,30,56,0,0
sc,0,1,32,67,0,0
sc,0,0,33,50,0,0
sc,0,0,32,44,0,0
sc,0,1,24,44,0,0
sc,0,1,25,44,0,0
sc,0,0,31,45,0,0
sc,0,0,30,49,0,0
sc,0,0,28,46,0,0
sc,0,0,26,42,0,0
sc,0,0,33,43,0,0
sc,0,0,28,51,0,0
sc,0,0,28,47,0,0
sc,0,1,30,43,0,0
sc,0,0,34,58,0,0
sc,0,0,27,46,0,0
sc,0,0,27,47,0,0
sc,0,0,27,47,0,0
sc,0,0,32,52,0,0
sc,0,0,30,59,0,0
sc,0,0,31,47,0,0
sc,0,0,26,52,0,0
sc,0,0,32,48,0,0
sc,0,0,30,45,0,0
sc,0,0,33,49,0,0
sc,0,0,34,50,1,0
sc,0,0,30,50,0,0
sc,0,0,28,44,0,0
sc,0,1,29,48,0,0
sc,0,0,28,46,0,0
sc,0,1,28,49,0,0
sc,1,0,32,47,0,0
sc,0,1,25,69,0,0
sc,0,1,25,43,0,0
sc,0,0,38,53,0,0
sc,0,0,34,48,0,0
sc,0,0,30,48,0,0
sc,0,0,28,48,0,0
sc,0,0,27,42,0,0
sc,0,0,24,43,1,0
sc,0,0,25,42,0,0
sc,0,1,32,48,0,0
sc,0,1,29,53,0,0
sc,0,0,31,51,0,0
sc,0,0,26,49,0,0
sc,0,0,38,44,0,0
sc,0,0,28,47,0,0
sc,0,1,42,49,0,0
sc,1,0,31,60,0,0
sc,0,0,30,46,0,0
sc,0,0,27,45,0,0
sc,0,0,36,50,0,0
